group_size	group_value	matched_size	metadata_column	occurrence_fraction
1	utaka, meat	0	ontology_term	0.0
1	utaka	0	ontology_term	0.0
1	turmeric	0	ontology_term	0.0
1	turkish fig	0	ontology_term	0.0
1	turkey outer surface	0	ontology_term	0.0
1	turkey inner meat	0	ontology_term	0.0
1	turkey fat	0	ontology_term	0.0
1	turkey dark meat	0	ontology_term	0.0
1	turkey breast	0	ontology_term	0.0
1	tupiro	0	ontology_term	0.0
1	tuna, filet	0	ontology_term	0.0
1	truffle hooked	0	ontology_term	0.0
1	trout, tail meat	0	ontology_term	0.0
1	trout, tail fins	0	ontology_term	0.0
1	trout, pelvic fins	0	ontology_term	0.0
1	trout, head with eyeball	0	ontology_term	0.0
1	trout, head	0	ontology_term	0.0
1	trout, end fin	0	ontology_term	0.0
1	trout, center meat	0	ontology_term	0.0
1	tomme brulee cheese	0	ontology_term	0.0
1	tomato sauce	0	ontology_term	0.0
1	tomatillo	0	ontology_term	0.0
1	timothy grass	0	ontology_term	0.0
1	thai pepper	0	ontology_term	0.0
1	thai eggplant	0	ontology_term	0.0
1	thai basil	0	ontology_term	0.0
1	tarragon	0	ontology_term	0.0
1	taro	0	ontology_term	0.0
1	tarantula	0	ontology_term	0.0
1	syrah, red	0	ontology_term	0.0
1	sweet potato leaf	0	ontology_term	0.0
1	sungold tomato	0	ontology_term	0.0
1	sunchoke	0	ontology_term	0.0
1	sumac	0	ontology_term	0.0
1	sugar	0	ontology_term	0.0
1	styrian golding hops	0	ontology_term	0.0
1	straw mushroom	0	ontology_term	0.0
1	strawberry jam	0	ontology_term	0.0
1	steel-cut oats	0	ontology_term	0.0
1	squid, organ	0	ontology_term	0.0
1	squid, midsection skin	0	ontology_term	0.0
1	squid, mid portion meat	0	ontology_term	0.0
1	squid, flesh	0	ontology_term	0.0
1	squid, eye	0	ontology_term	0.0
1	squash blossom	0	ontology_term	0.0
1	spring roll	0	ontology_term	0.0
1	spicy pepper	0	ontology_term	0.0
1	spice	0	ontology_term	0.0
1	sockeye salmon	0	ontology_term	0.0
1	snapper, meat	0	ontology_term	0.0
1	snapper	0	ontology_term	0.0
1	snail	0	ontology_term	0.0
1	smelt, white meat	0	ontology_term	0.0
1	smelt, skin	0	ontology_term	0.0
1	smelt, red meat	0	ontology_term	0.0
1	smelt, midsection	0	ontology_term	0.0
1	smelt, fin	0	ontology_term	0.0
1	smelt, face meat	0	ontology_term	0.0
1	silversides, mixed meat	0	ontology_term	0.0
1	silversides, head	0	ontology_term	0.0
1	silversides, gut	0	ontology_term	0.0
1	silkworm	0	ontology_term	0.0
1	sesame oil	0	ontology_term	0.0
1	sauvignon blanc, white	0	ontology_term	0.0
1	saurkraut	0	ontology_term	0.0
1	sardine, meat	0	ontology_term	0.0
1	sardine, fins	0	ontology_term	0.0
1	sardine, eye	0	ontology_term	0.0
1	saigon cinnamon	0	ontology_term	0.0
1	rye	0	ontology_term	0.0
1	roxanthin	0	ontology_term	0.0
1	rose wine, red	0	ontology_term	0.0
1	rose	0	ontology_term	0.0
1	Rooibos	0	ontology_term	0.0
1	roma tomato	0	ontology_term	0.0
1	rock fish, meat	0	ontology_term	0.0
1	rock fish	0	ontology_term	0.0
1	ripe black fine truffle	0	ontology_term	0.0
1	riesling, white	0	ontology_term	0.0
1	ricotta cheese	0	ontology_term	0.0
1	ribs, white meat	0	ontology_term	0.0
1	rhubarb	0	ontology_term	0.0
1	red sea vegetable	0	ontology_term	0.0
1	red romaine lettuce	0	ontology_term	0.0
1	red rice	0	ontology_term	0.0
1	red radish greens	0	ontology_term	0.0
1	red guava	0	ontology_term	0.0
1	red garlic	0	ontology_term	0.0
1	red cabbage	0	ontology_term	0.0
1	rat skin and fur	0	ontology_term	0.0
1	rat	0	ontology_term	0.0
1	radish greens	0	ontology_term	0.0
1	rabbit ear	0	ontology_term	0.0
1	rabbit	0	ontology_term	0.0
1	quince	0	ontology_term	0.0
1	purple mangosteen	0	ontology_term	0.0
1	purple carrot	0	ontology_term	0.0
1	purple cabbage	0	ontology_term	0.0
1	purple bean	0	ontology_term	0.0
1	pumpkin blossom	0	ontology_term	0.0
1	pumpkin	0	ontology_term	0.0
1	provolone	0	ontology_term	0.0
1	prosciutto	0	ontology_term	0.0
1	premature black fine truffle	0	ontology_term	0.0
1	pot roast	0	ontology_term	0.0
1	potato leaf	0	ontology_term	0.0
1	potato chip	0	ontology_term	0.0
1	pork white meat	0	ontology_term	0.0
1	pork sausage	0	ontology_term	0.0
1	pork red meat	0	ontology_term	0.0
1	pork end cut	0	ontology_term	0.0
1	pork chop	0	ontology_term	0.0
1	pork cheek	0	ontology_term	0.0
1	pole bean	0	ontology_term	0.0
1	pod	0	ontology_term	0.0
1	pitaya	0	ontology_term	0.0
1	pistachio	0	ontology_term	0.0
1	pink himalayan salt	0	ontology_term	0.0
1	pineapple sage	0	ontology_term	0.0
1	pig back	0	ontology_term	0.0
1	petit basque cheese	0	ontology_term	0.0
1	persian cucumber	0	ontology_term	0.0
1	pepper_spice	0	ontology_term	0.0
1	pepperonchini	0	ontology_term	0.0
1	pecan	0	ontology_term	0.0
1	pearled farro	0	ontology_term	0.0
1	peanut butter	0	ontology_term	0.0
1	patty pan squash	0	ontology_term	0.0
1	palm fruit	0	ontology_term	0.0
1	pachino cherry tomato	0	ontology_term	0.0
1	orzo	0	ontology_term	0.0
1	orange thyme	0	ontology_term	0.0
1	orange leaf	0	ontology_term	0.0
1	orange cherry tomato	0	ontology_term	0.0
1	orange chard	0	ontology_term	0.0
1	orange carrot	0	ontology_term	0.0
1	olive oil spread	0	ontology_term	0.0
1	octopus	0	ontology_term	0.0
1	nori seaweed	0	ontology_term	0.0
1	nectarine	0	ontology_term	0.0
1	natural cheese	0	ontology_term	0.0
1	nasturtium leaf	0	ontology_term	0.0
1	mustard greens	0	ontology_term	0.0
1	mushroom plant	0	ontology_term	0.0
1	multivitamin	0	ontology_term	0.0
1	mulberry	0	ontology_term	0.0
1	mouse skin and fur	0	ontology_term	0.0
1	mouse skin	0	ontology_term	0.0
1	mouse intestines	0	ontology_term	0.0
1	mouse body	0	ontology_term	0.0
1	moriche palm	0	ontology_term	0.0
1	morel	0	ontology_term	0.0
1	molasses	0	ontology_term	0.0
1	miyaki mushroom	0	ontology_term	0.0
1	mint mojito	0	ontology_term	0.0
1	mineral water	0	ontology_term	0.0
1	millet	0	ontology_term	0.0
1	milk Oolong	0	ontology_term	0.0
1	midnight moon cheese	0	ontology_term	0.0
1	medjool date	0	ontology_term	0.0
1	matcha green tea	0	ontology_term	0.0
1	mashed potato	0	ontology_term	0.0
1	marjoram	0	ontology_term	0.0
1	marigold	0	ontology_term	0.0
1	manzanilla olive	0	ontology_term	0.0
1	mangosteen	0	ontology_term	0.0
1	maitake mushroom	0	ontology_term	0.0
1	mackerel, white skin	0	ontology_term	0.0
1	mackerel, tail muscle	0	ontology_term	0.0
1	mackerel, tail	0	ontology_term	0.0
1	mackerel, stomach	0	ontology_term	0.0
1	mackerel, side muscle	0	ontology_term	0.0
1	mackerel, red	0	ontology_term	0.0
1	mackerel, pylo_cec	0	ontology_term	0.0
1	mackerel, midsection	0	ontology_term	0.0
1	mackerel, liver	0	ontology_term	0.0
1	mackerel, intestines	0	ontology_term	0.0
1	mackerel, heart	0	ontology_term	0.0
1	mackerel, gill	0	ontology_term	0.0
1	mackerel, eye lens	0	ontology_term	0.0
1	mackerel, eyeball frame	0	ontology_term	0.0
1	mackerel, dig	0	ontology_term	0.0
1	mackerel, dark fish skin	0	ontology_term	0.0
1	mackerel, brain	0	ontology_term	0.0
1	mackerel, bile	0	ontology_term	0.0
1	mackerel, 7iyn	0	ontology_term	0.0
1	macaroni	0	ontology_term	0.0
1	macadamia	0	ontology_term	0.0
1	lotus seed	0	ontology_term	0.0
1	lorikeet nectar	0	ontology_term	0.0
1	lizard tail	0	ontology_term	0.0
1	lizard head	0	ontology_term	0.0
1	lizard body	0	ontology_term	0.0
1	lizard arm	0	ontology_term	0.0
1	lime leaf	0	ontology_term	0.0
1	lima bean	0	ontology_term	0.0
1	licorice	0	ontology_term	0.0
1	lemon guava	0	ontology_term	0.0
1	lemon cucumber	0	ontology_term	0.0
1	leek	0	ontology_term	0.0
1	laurel	0	ontology_term	0.0
1	lapacho bark	0	ontology_term	0.0
1	lamb, top round	0	ontology_term	0.0
1	lacinato kale	0	ontology_term	0.0
1	kohlrabi	0	ontology_term	0.0
1	kava root	0	ontology_term	0.0
1	kalamata	0	ontology_term	0.0
1	Jerusalem artichoke	0	ontology_term	0.0
1	japanese eggplant	0	ontology_term	0.0
1	jade pearl rice	0	ontology_term	0.0
1	Iberico cheese	0	ontology_term	0.0
1	hulled millet	0	ontology_term	0.0
1	horse, yellow/brown meat	0	ontology_term	0.0
1	horse, white fat	0	ontology_term	0.0
1	horse, tough meat	0	ontology_term	0.0
1	horse, red meat with fat	0	ontology_term	0.0
1	horse, pink meat	0	ontology_term	0.0
1	horse, pink fat	0	ontology_term	0.0
1	horse, mixed meat	0	ontology_term	0.0
1	horse, middle meat	0	ontology_term	0.0
1	horse, fatty light meat	0	ontology_term	0.0
1	horse, dark meat	0	ontology_term	0.0
1	horse, brown meat	0	ontology_term	0.0
1	honey_sage	0	ontology_term	0.0
1	honey_macadamia	0	ontology_term	0.0
1	honey_chestnut	0	ontology_term	0.0
1	hing powder	0	ontology_term	0.0
1	herring, vein/blood	0	ontology_term	0.0
1	herring, scales	0	ontology_term	0.0
1	herring, organ	0	ontology_term	0.0
